Id,Calories,weekday,AvgCal
1503960366,1788,1,1832
1503960366,1863,7,1832
1503960366,1821,7,1832
1503960366,1947,7,1832
1503960366,1949,7,1832
1503960366,1728,1,1832
1503960366,1740,1,1832
1503960366,1820,1,1832
1624580081,1463,7,1680.25
1624580081,1474,7,1680.25
1624580081,1427,1,1680.25
1624580081,1617,1,1680.25
1624580081,1554,1,1680.25
1624580081,1655,7,1680.25
1624580081,2690,1,1680.25
1624580081,1562,7,1680.25
1644430081,3846,7,3065.875
1644430081,3493,7,3065.875
1644430081,3404,7,3065.875
1644430081,2413,1,3065.875
1644430081,3011,1,3065.875
1644430081,2987,1,3065.875
1644430081,2696,1,3065.875
1644430081,2677,7,3065.875
1844505072,1347,1,1555
1844505072,1763,7,1555
1844505072,1793,1,1555
1844505072,1541,1,1555
1844505072,1347,1,1555
1844505072,1347,7,1555
1844505072,1657,7,1555
1844505072,1645,7,1555
1927972279,2064,7,2214.625
1927972279,2063,1,2214.625
1927972279,2411,1,2214.625
1927972279,2324,1,2214.625
1927972279,2064,7,2214.625
1927972279,2063,1,2214.625
1927972279,2499,7,2214.625
1927972279,2229,7,2214.625
2022484408,2732,7,2314
2022484408,2380,1,2314
2022484408,1848,1,2314
2022484408,1995,7,2314
2022484408,2529,1,2314
2022484408,2782,1,2314
2022484408,2177,7,2314
2022484408,2069,7,2314
2026352035,1214,1,1487.875
2026352035,1401,1,1487.875
2026352035,1447,1,1487.875
2026352035,1491,7,1487.875
2026352035,1373,7,1487.875
2026352035,1506,7,1487.875
2026352035,1916,7,1487.875
2026352035,1555,1,1487.875
2320127002,1804,7,1760
2320127002,1725,1,1760
2320127002,1821,1,1760
2320127002,1852,1,1760
2320127002,1779,7,1760
2320127002,1972,7,1760
2320127002,1403,1,1760
2320127002,1724,7,1760
2347167796,1882,1,2342
2347167796,2187,1,2342
2347167796,2670,7,2342
2347167796,2629,7,2342
2873212765,2096,1,1894.75
2873212765,1898,1,1894.75
2873212765,2021,7,1894.75
2873212765,1529,1,1894.75
2873212765,1830,7,1894.75
2873212765,2148,7,1894.75
2873212765,1739,1,1894.75
2873212765,1897,7,1894.75
3372868164,1964,1,1828.5
3372868164,1946,7,1828.5
3372868164,1921,1,1828.5
3372868164,1995,7,1828.5
3372868164,1908,7,1828.5
3372868164,1237,1,1828.5
3977333714,1633,1,1600.625
3977333714,1625,7,1600.625
3977333714,1529,1,1600.625
3977333714,1650,7,1600.625
3977333714,1574,7,1600.625
3977333714,1501,1,1600.625
3977333714,1655,1,1600.625
3977333714,1638,7,1600.625
4020332650,3051,7,2378.125
4020332650,1980,7,2378.125
4020332650,1990,1,2378.125
4020332650,2975,7,2378.125
4020332650,1980,1,2378.125
4020332650,1980,1,2378.125
4020332650,1980,7,2378.125
4020332650,3089,1,2378.125
4319703577,2092,7,1851
4319703577,2158,7,1851
4319703577,1884,7,1851
4319703577,1593,1,1851
4319703577,1464,1,1851
4319703577,1880,1,1851
4319703577,1945,7,1851
4319703577,1792,1,1851
4388161847,3934,1,3250.125
4388161847,2572,1,3250.125
4388161847,2926,1,3250.125
4388161847,3306,7,3250.125
4388161847,2885,1,3250.125
4388161847,3073,7,3250.125
4388161847,4022,7,3250.125
4388161847,3283,7,3250.125
4445114986,2423,1,2208
4445114986,2123,7,2208
4445114986,2246,1,2208
4445114986,2149,7,2208
4445114986,2247,1,2208
4445114986,1933,1,2208
4445114986,2180,7,2208
4445114986,2363,7,2208
4558609924,2666,1,2101
4558609924,1692,1,2101
4558609924,2085,7,2101
4558609924,2173,1,2101
4558609924,1973,7,2101
4558609924,2117,1,2101
4558609924,1997,7,2101
4558609924,2105,7,2101
4702921684,3394,1,3256.625
4702921684,3691,7,3256.625
4702921684,3328,7,3256.625
4702921684,3287,1,3256.625
4702921684,3115,7,3256.625
4702921684,2017,1,3256.625
4702921684,3683,7,3256.625
4702921684,3538,1,3256.625
5553957443,1507,1,1622.125
5553957443,1776,7,1622.125
5553957443,1397,1,1622.125
5553957443,1831,7,1622.125
5553957443,1762,1,1622.125
5553957443,1747,1,1622.125
5553957443,1463,7,1622.125
5553957443,1494,7,1622.125
5577150313,4392,1,3631.875
5577150313,3152,7,3631.875
5577150313,4552,1,3631.875
5577150313,4274,7,3631.875
5577150313,1819,1,3631.875
5577150313,4546,1,3631.875
5577150313,4501,7,3631.875
5577150313,1819,7,3631.875
6117666160,2469,7,2420.5
6117666160,2275,7,2420.5
6117666160,2225,1,2420.5
6117666160,2250,1,2420.5
6117666160,2828,7,2420.5
6117666160,2361,1,2420.5
6117666160,2305,1,2420.5
6117666160,2651,7,2420.5
6290855005,2613,7,2852
6290855005,2843,7,2852
6290855005,2712,1,2852
6290855005,2783,7,2852
6290855005,3327,1,2852
6290855005,3171,1,2852
6290855005,2703,1,2852
6290855005,2664,7,2852
6775888955,2280,7,1973.857143
6775888955,2225,7,1973.857143
6775888955,1032,7,1973.857143
6775888955,2319,1,1973.857143
6775888955,2053,1,1973.857143
6775888955,1841,7,1973.857143
6775888955,2067,1,1973.857143
6962181067,2571,7,1978
6962181067,2002,7,1978
6962181067,1659,1,1978
6962181067,1947,7,1978
6962181067,1705,1,1978
6962181067,2173,7,1978
6962181067,1740,1,1978
6962181067,2027,1,1978
7007744171,2284,7,1972.285714
7007744171,2051,7,1972.285714
7007744171,2076,7,1972.285714
7007744171,2667,1,1972.285714
7007744171,2225,1,1972.285714
7007744171,120,7,1972.285714
7007744171,2383,1,1972.285714
7086361926,1635,7,2284.5
7086361926,1629,1,2284.5
7086361926,2730,1,2284.5
7086361926,1965,7,2284.5
7086361926,2739,7,2284.5
7086361926,2534,1,2284.5
7086361926,2049,1,2284.5
7086361926,2995,7,2284.5
8053475328,1886,1,3053.125
8053475328,3213,1,3053.125
8053475328,3331,7,3053.125
8053475328,3589,1,3053.125
8053475328,3577,1,3053.125
8053475328,3554,7,3053.125
8053475328,2408,7,3053.125
8053475328,2867,7,3053.125
8253242879,2112,1,1620
8253242879,1976,1,1620
8253242879,1880,7,1620
8253242879,2132,7,1620
8253242879,0,7,1620
8378563200,2741,1,2887.125
8378563200,2660,7,2887.125
8378563200,2685,1,2887.125
8378563200,2572,1,2887.125
8378563200,3369,1,2887.125
8378563200,2799,7,2887.125
8378563200,2908,7,2887.125
8378563200,3363,7,2887.125
8583815059,2810,7,2817.875
8583815059,3164,7,2817.875
8583815059,2439,1,2817.875
8583815059,3012,7,2817.875
8583815059,2693,7,2817.875
8583815059,2940,1,2817.875
8583815059,2889,1,2817.875
8583815059,2596,1,2817.875
8792009665,2896,7,2023.75
8792009665,2748,7,2023.75
8792009665,1721,7,2023.75
8792009665,1688,1,2023.75
8792009665,1799,1,2023.75
8792009665,1962,1,2023.75
8792009665,1688,1,2023.75
8792009665,1688,7,2023.75
8877689391,4398,7,3701.375
8877689391,3891,7,3701.375
8877689391,3545,1,3701.375
8877689391,4547,7,3701.375
8877689391,2847,1,3701.375
8877689391,3455,1,3701.375
8877689391,2786,1,3701.375
8877689391,4142,7,3701.375
